% Copyright (C) 2001-2018 Artifex Software, Inc.
% All Rights Reserved.
%
% This software is provided AS-IS with no warranty, either express or
% implied.
%
% This software is distributed under license and may not be copied,
% modified or distributed except as expressly authorized under the terms
% of the license contained in the file LICENSE in this distribution.
%
% Refer to licensing information at http://www.artifex.com or contact
% Artifex Software, Inc.,  1305 Grant Avenue - Suite 200, Novato,
% CA 94945, U.S.A., +1(415)492-9861, for further information.
%
%
% Unicode Decoding
% Maps PS and TT names to Unicode UTF-16.

% The file is in tabular format, with columns separated by exactly 2 spaces.
% The 1st column is the Unicode value assigned to all names in that row.
% The other columns contain glyph names based on the source these names
% came from; if a column contains more than 1 name, these are separated by
% exactly one space. So, WHITESPACE IS SIGNIFICANT (for documenting/editing purposes).
%
% The sources of glyph names in the current version of this file are, in column order:
%
% [AGLFN] Adobe Glyph List For New Fonts v1.7 dated November 6, 2008
%         http://www.adobe.com/devnet-archive/opentype/archives/aglfn.txt
% [AGLv2] Adobe Glyph List v2.0 dated September 20, 2002
%         http://www.adobe.com/devnet-archive/opentype/archives/glyphlist.txt
%         - this list is a strict superset of [AGLFN], and only names that are not
%           already in [AGLFN] are present in this column.
%         - mappings to sequences of UVs (decomposed ligatures) are
%           commented out with a "%L#" at the beginning of the line.
% [ZDGL2] ITC Zapf Dingbats Glyph List v2.0 dated September 20, 2002
%         http://www.adobe.com/devnet-archive/opentype/archives/zapfdingbats.txt
% [R9887] All names that were present in SVN revision 9887 of this file and
%         are not included in any of the lists above.
%
%/Unicode         % resource name
%6514             % # of names
%/ParseDecoding /ProcSet findresource /Parse get exec
%
16#0000        .null NUL
16#FE82    alefmaddaabovefinalarabic    alefwithmaddaabovefinal
16#FE83        alefwithhamzaaboveisolated
16#FE84    alefhamzaabovefinalarabic    alefwithhamzaabovefinal
16#FE85        wawwithhamzaaboveisolated
16#FE86    wawhamzaabovefinalarabic    wawwithhamzaabovefinal
16#FE87        alefwithhamzabelowisolated
16#FE88    alefhamzabelowfinalarabic    alefwithhamzabelowfinal
16#FE89        yehwithhamzaaboveisolated
16#FE8A    yehhamzaabovefinalarabic    yehwithhamzaabovefinal
16#FE8B    yehhamzaaboveinitialarabic    yehwithhamzaaboveinitial
16#FE8C    yehhamzaabovemedialarabic    yehwithhamzaabovemedial
16#FE8D        alefisolated
16#FE8E    aleffinalarabic    aleffinal
16#FE8F        behisolated
16#FE90    behfinalarabic    behfinal
16#FE91    behinitialarabic    behinitial
16#FE92    behmedialarabic    behmedial
16#FE93        tehmarbutaisolated
16#FE94    tehmarbutafinalarabic    tehmarbutafinal
16#FE95        tehisolated
16#FE96    tehfinalarabic    tehfinal
16#FE97    tehinitialarabic    tehinitial
16#FE98    tehmedialarabic    tehmedial
16#FE99        thehisolated
16#FE9A    thehfinalarabic    thehfinal
16#FE9B    thehinitialarabic    thehinitial
16#FE9C    thehmedialarabic    thehmedial
16#FE9D        jeemisolated
16#FE9E    jeemfinalarabic    jeemfinal
16#FE9F    jeeminitialarabic    jeeminitial
16#FEA0    jeemmedialarabic    jeemmedial
16#FEA1        hahisolated
16#FEA2    hahfinalarabic    hahfinal
16#FEA3    hahinitialarabic    hahinitial
16#FEA4    hahmedialarabic    hahmedial
16#FEA5        khahisolated
16#FEA6    khahfinalarabic    khahfinal
16#FEA7    khahinitialarabic    khahinitial
16#FEA8    khahmedialarabic    khahmedial
16#FEA9        dalisolated
16#FEAA    dalfinalarabic    dalfinal
16#FEAB        thalisolated
16#FEAC    thalfinalarabic    thalfinal
16#FEAD        rehisolated
16#FEAE    rehfinalarabic    rehfinal
16#FEAF        zainisolated
16#FEB0    zainfinalarabic    zainfinal
16#FEB1        seenisolated
16#FEB2    seenfinalarabic    seenfinal
16#FEB3    seeninitialarabic    seeninitial
16#FEB4    seenmedialarabic    seenmedial
16#FEB5        sheenisolated
16#FEB6    sheenfinalarabic    sheenfinal
16#FEB7    sheeninitialarabic    sheeninitial
16#FEB8    sheenmedialarabic    sheenmedial
16#FEB9        sadisolated
16#FEBA    sadfinalarabic    sadfinal
16#FEBB    sadinitialarabic    sadinitial
16#FEBC    sadmedialarabic    sadmedial
16#FEBD        dadisolated
16#FEBE    dadfinalarabic    dadfinal
16#FEBF    dadinitialarabic    dadinitial
16#FEC0    dadmedialarabic    dadmedial
16#FEC1        tahisolated
16#FEC2    tahfinalarabic    tahfinal
16#FEC3    tahinitialarabic    tahinitial
16#FEC4    tahmedialarabic    tahmedial
16#FEC5        zahisolated
16#FEC6    zahfinalarabic    zahfinal
16#FEC7    zahinitialarabic    zahinitial
16#FEC8    zahmedialarabic    zahmedial
16#FEC9        ainisolated
16#FECA    ainfinalarabic    ainfinal
16#FECB    aininitialarabic    aininitial
16#FECC    ainmedialarabic    ainmedial
16#FECD        ghainisolated
16#FECE    ghainfinalarabic    ghainfinal
16#FECF    ghaininitialarabic    ghaininitial
16#FED0    ghainmedialarabic    ghainmedial
16#FED1        fehisolated
16#FED2    fehfinalarabic    fehfinal
16#FED3    fehinitialarabic    fehinitial
16#FED4    fehmedialarabic    fehmedial
16#FED5        qafisolated
16#FED6    qaffinalarabic    qaffinal
16#FED7    qafinitialarabic    qafinitial
16#FED8    qafmedialarabic    qafmedial
16#FED9        kafisolated
16#FEDA    kaffinalarabic    arabickaffinal
16#FEDB    kafinitialarabic    kafinitial
16#FEDC    kafmedialarabic    kafmedial
16#FEDD        lamisolated
16#FEDE    lamfinalarabic    lamfinal
16#FEDF    laminitialarabic    laminitial
%L#FEDF_FEE4_FEA0    lammeemjeeminitialarabic
%L#FEDF_FEE4_FEA8    lammeemkhahinitialarabic
16#FEE0    lammedialarabic    lammedial
16#FEE1        meemisolated
16#FEE2    meemfinalarabic    meemfinal
16#FEE3    meeminitialarabic    meeminitial
16#FEE4    meemmedialarabic    meemmedial
16#FEE5        noonisolated
16#FEE6    noonfinalarabic    noonfinal
16#FEE7    nooninitialarabic    nooninitial
%L#FEE7_FEEC    noonhehinitialarabic
16#FEE8    noonmedialarabic    noonmedial
16#FEE9        hehisolated
16#FEEA    hehfinalalttwoarabic hehfinalarabic    hehfinal
16#FEEB    hehinitialarabic    hehinitial
16#FEEC    hehmedialarabic    hehmedial
16#FEED        wawisolated
16#FEEE    wawfinalarabic    wawfinal
16#FEEF        alefmaksuraisolated
16#FEF0    alefmaksurafinalarabic    alefmaksurafinal
16#FEF1        yehisolated
16#FEF2    yehfinalarabic    yehfinal
16#FEF3    alefmaksurainitialarabic yehinitialarabic    yehinitial
16#FEF4    alefmaksuramedialarabic yehmedialarabic    yehmedial
16#FEF5    lamalefmaddaaboveisolatedarabic    lamwithalefmaddaaboveisolatedd
16#FEF6    lamalefmaddaabovefinalarabic    lamwithalefmaddaabovefinal
16#FEF7    lamalefhamzaaboveisolatedarabic    lamwithalefhamzaaboveisolatedd
16#FEF8    lamalefhamzaabovefinalarabic    lamwithalefhamzaabovefinal
16#FEF9    lamalefhamzabelowisolatedarabic    lamwithalefhamzabelowisolated
16#FEFA    lamalefhamzabelowfinalarabic    lamwithalefhamzabelowfinal
16#FEFB    lamalefisolatedarabic    lamwithalefisolated
16#FEFC    lamaleffinalarabic    lamwithaleffinal
16#FEFF    zerowidthjoiner    zerowidthnobreakspace bom
16#FF01    exclammonospace
16#FF02    quotedblmonospace
16#FF03    numbersignmonospace
16#FF04    dollarmonospace
16#FF05    percentmonospace
16#FF06    ampersandmonospace
16#FF07    quotesinglemonospace
16#FF08    parenleftmonospace
16#FF09    parenrightmonospace
16#FF0A    asteriskmonospace
16#FF0B    plusmonospace
16#FF0C    commamonospace
16#FF0D    hyphenmonospace
16#FF0E    periodmonospace
16#FF0F    slashmonospace
16#FF10    zeromonospace
16#FF11    onemonospace
16#FF12    twomonospace
16#FF13    threemonospace
16#FF14    fourmonospace
16#FF15    fivemonospace
16#FF16    sixmonospace
16#FF17    sevenmonospace
16#FF18    eightmonospace
16#FF19    ninemonospace
16#FF1A    colonmonospace
16#FF1B    semicolonmonospace
16#FF1C    lessmonospace
16#FF1D    equalmonospace
16#FF1E    greatermonospace
16#FF1F    questionmonospace
16#FF20    atmonospace
16#FF21    Amonospace
16#FF22    Bmonospace
16#FF23    Cmonospace
16#FF24    Dmonospace
16#FF25    Emonospace
16#FF26    Fmonospace
16#FF27    Gmonospace
16#FF28    Hmonospace
16#FF29    Imonospace
16#FF2A    Jmonospace
16#FF2B    Kmonospace
16#FF2C    Lmonospace
16#FF2D    Mmonospace
16#FF2E    Nmonospace
16#FF2F    Omonospace
16#FF30    Pmonospace
16#FF31    Qmonospace
16#FF32    Rmonospace
16#FF33    Smonospace
16#FF34    Tmonospace
16#FF35    Umonospace
16#FF36    Vmonospace
16#FF37    Wmonospace
16#FF38    Xmonospace
16#FF39    Ymonospace
16#FF3A    Zmonospace
16#FF3B    bracketleftmonospace
16#FF3C    backslashmonospace
16#FF3D    bracketrightmonospace
16#FF3E    asciicircummonospace
16#FF3F    underscoremonospace
16#FF40    gravemonospace
16#FF41    amonospace
16#FF42    bmonospace
16#FF43    cmonospace
16#FF44    dmonospace
16#FF45    emonospace
16#FF46    fmonospace
16#FF47    gmonospace
16#FF48    hmonospace
16#FF49    imonospace
16#FF4A    jmonospace
16#FF4B    kmonospace
16#FF4C    lmonospace
16#FF4D    mmonospace
16#FF4E    nmonospace
16#FF4F    omonospace
16#FF50    pmonospace
16#FF51    qmonospace
16#FF52    rmonospace
16#FF53    smonospace
16#FF54    tmonospace
16#FF55    umonospace
16#FF56    vmonospace
16#FF57    wmonospace
16#FF58    xmonospace
16#FF59    ymonospace
16#FF5A    zmonospace
16#FF5B    braceleftmonospace
16#FF5C    barmonospace
16#FF5D    bracerightmonospace
16#FF5E    asciitildemonospace
16#FF61    periodhalfwidth
16#FF62    cornerbracketlefthalfwidth
16#FF63    cornerbracketrighthalfwidth
16#FF64    ideographiccommaleft
16#FF65    middledotkatakanahalfwidth
16#FF66    wokatakanahalfwidth
16#FF67    asmallkatakanahalfwidth
16#FF68    ismallkatakanahalfwidth
16#FF69    usmallkatakanahalfwidth
16#FF6A    esmallkatakanahalfwidth
16#FF6B    osmallkatakanahalfwidth
16#FF6C    yasmallkatakanahalfwidth
16#FF6D    yusmallkatakanahalfwidth
16#FF6E    yosmallkatakanahalfwidth
16#FF6F    tusmallkatakanahalfwidth
16#FF70    katahiraprolongmarkhalfwidth
16#FF71    akatakanahalfwidth
16#FF72    ikatakanahalfwidth
16#FF73    ukatakanahalfwidth
16#FF74    ekatakanahalfwidth
16#FF75    okatakanahalfwidth
16#FF76    kakatakanahalfwidth
16#FF77    kikatakanahalfwidth
16#FF78    kukatakanahalfwidth
16#FF79    kekatakanahalfwidth
16#FF7A    kokatakanahalfwidth
16#FF7B    sakatakanahalfwidth
16#FF7C    sikatakanahalfwidth
16#FF7D    sukatakanahalfwidth
16#FF7E    sekatakanahalfwidth
16#FF7F    sokatakanahalfwidth
16#FF80    takatakanahalfwidth
16#FF81    tikatakanahalfwidth
16#FF82    tukatakanahalfwidth
16#FF83    tekatakanahalfwidth
16#FF84    tokatakanahalfwidth
16#FF85    nakatakanahalfwidth
16#FF86    nikatakanahalfwidth
16#FF87    nukatakanahalfwidth
16#FF88    nekatakanahalfwidth
16#FF89    nokatakanahalfwidth
16#FF8A    hakatakanahalfwidth
16#FF8B    hikatakanahalfwidth
16#FF8C    hukatakanahalfwidth
16#FF8D    hekatakanahalfwidth
16#FF8E    hokatakanahalfwidth
16#FF8F    makatakanahalfwidth
16#FF90    mikatakanahalfwidth
16#FF91    mukatakanahalfwidth
16#FF92    mekatakanahalfwidth
16#FF93    mokatakanahalfwidth
16#FF94    yakatakanahalfwidth
16#FF95    yukatakanahalfwidth
16#FF96    yokatakanahalfwidth
16#FF97    rakatakanahalfwidth
16#FF98    rikatakanahalfwidth
16#FF99    rukatakanahalfwidth
16#FF9A    rekatakanahalfwidth
16#FF9B    rokatakanahalfwidth
16#FF9C    wakatakanahalfwidth
16#FF9D    nkatakanahalfwidth
16#FF9E    voicedmarkkanahalfwidth
16#FF9F    semivoicedmarkkanahalfwidth
16#FFE0    centmonospace
16#FFE1    sterlingmonospace
16#FFE3    macronmonospace
16#FFE5    yenmonospace
16#FFE6    wonmonospace

%EOF
